"nume","inceput","sfarsit","partid"
"Gheorghe Marin","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Nețoiu","2012-12-19","2013-06-21","Grupul parlamentar Democrat şi Popular"
"Gheorghe Roman","2012-12-19","2015-06-16","Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Şimon","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Udrişte","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Gheorghe-Dănuț Bogdan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe-Eugen Nicolăescu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Gheorghe-Mirel Taloş","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Național Liberal"
"Gheorghe-Vlad Nistor","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Ghervazen Longher","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Gigel-Sorinel Ştirbu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Giureci-Slobodan Ghera","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Grațiela Leocadia Gavrilescu","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Național Liberal"
"Grigore Crăciunescu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Horia Cristian","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Horia Grama","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Hubert Petru Ştefan Thuma","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Hunor Kelemen","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Iacob Puşcaş","2012-12-19","2013-05-28","Grupul parlamentar Democrat şi Popular"
"Ileana Cristina Dumitrache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Adam","2012-12-19","2015-01-19","Grupul parlamentar al Partidului Social Democrat"
"Ioan Axente","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Balan","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Ioan Benga","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Cupşa","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Ioan Dîrzu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Hulea","2012-12-19","2013-12-17","Grupul parlamentar Democrat şi Popular"
"Ioan Mihăilă","2012-12-19","2014-03-24","Grupul parlamentar al Partidului Democrat Liberal"
"Ioan Moldovan","2012-12-19","2013-01-22","Grupul parlamentar Democrat şi Popular"
"Ioan Munteanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Oltean","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Ioan Stan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Tămâian","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Ioan Vulpescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioana-Jenica Dumitru","2012-12-19","2014-06-27","Grupul parlamentar Democrat şi Popular"
"Ioan-Cristian Chirteş","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Ioan Sorin Roman","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Viorel Teodorescu","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Național Liberal"
"Ion Bălan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Călin","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Cupă","2012-12-19","2013-04-09","Grupul parlamentar al Partidului Democrat Liberal"
"Ion Diniță","2012-12-19","2015-04-01","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Ion Eparu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Marocico","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Ion Melinte","2012-12-19","2013-09-18","Grupul parlamentar Democrat şi Popular"
"Ion Mocioalcă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Ochi","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Pârgaru","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Național Liberal"
"Ion Răducanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Şcheau","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Ion Stan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Tabugan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ionaş-Florin Urcan","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Ion-Bogdan Mihăilescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Cristinel Marian","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Ionel Arsene","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ionel Palăr","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Ionel Stancu","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Ion-Marcel Ciolacu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ionuț-Cristian Săvoiu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ionuț-Marian Stroe","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Iosif Moldovan","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Irinel Ioan Stativă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"István Antal","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"István Bónis","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"István Erdei Dolóczki","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Iulian Iancu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Iulian Vladu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Iulian Claudiu Manda","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Iulian-Radu Surugiu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Iuliu Nosa","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Iusein Ibram","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Károly Kerekes","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"László Borbély","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"László-Ődőn Fejér","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Laurențiu Chirvăsuță","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Laurențiu Nistor","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Laurențiu Ţigăeru Roşca","2012-12-19","2014-08-11","Grupul parlamentar al Partidului Național Liberal"
"Liliana Ciobanu","2012-12-19","2014-12-09","Grupul parlamentar Democrat şi Popular"
"Liliana Mincă","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Liviu Codîrlă","2012-12-19","2013-12-17","Grupul parlamentar Democrat şi Popular"
"Liviu Harbuz","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Liviu Laza-Matiuța","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Liviu-Bogdan Ciucă","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Lucia-Ana Varga","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Lucian Militaru","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Lucian Şova","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Lucian-Manuel Ciubotaru","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Lucian Nicolae Bode","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Lucreția Roşca","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ludovic Orban","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Luminița-Pachel Adam","2012-12-19","2014-06-18","Grupul parlamentar Democrat şi Popular"
"Mădălin-Ştefan Voicu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Manuela Mitrea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Maria Dragomir","2012-12-19","2014-12-09","Grupul parlamentar Democrat şi Popular"
"Maria Grapini","2012-12-19","2014-03-25","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Maria Grecea","2012-12-19","2013-09-24","Grupul parlamentar Democrat şi Popular"
"Maria-Andreea Paul","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Marian Avram","2012-12-19","2015-06-24","Grupul parlamentar al Partidului Social Democrat"
"Marian Enache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Marian Ghiveciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Marian Neacşu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Marin Almăjanu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Marin Anton","2012-12-19","2014-03-03","Grupul parlamentar al Partidului Național Liberal"
"Marioara Nistor","2012-12-19","2014-05-28","Grupul parlamentar Democrat şi Popular"
"Mario-Ernest Caloianu","2012-12-19","2014-06-11","Grupul parlamentar Democrat şi Popular"
"Marius Manolache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihaela Stoica","2012-12-19","2013-04-22","Grupul parlamentar al Partidului Democrat Liberal"
"Mihai Baltă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihai Deaconu","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Mihai Lupu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Mihai Stănişoară","2012-12-19","2013-03-11","Grupul parlamentar al Partidului Democrat Liberal"
"Mihai Tararache","2012-12-19","2013-04-22","Grupul parlamentar Democrat şi Popular"
"Mihai Tudose","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihai Weber","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihai Alexandru Voicu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Mihai-Aurel Donțu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Mihai-Bogdan Diaconu","2012-12-19","2014-10-13","Grupul parlamentar al Partidului Social Democrat"
"Mihai-Răzvan Sturzu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihăiță Calimente","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Mihăiță Găină","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mircea Dolha","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Mircea Duşa","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mircea Grosaru","2012-12-19","2014-02-03","Grupul parlamentar al minorităților naționale"
"Mircea Lubanovici","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Mircea Man","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Mircea Roşca","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Mircea-Gheorghe Drăghici","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mircea-Nicu Toader","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Mircea-Titus Dobre","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mircea-Vasile Cazan","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Mircia Muntean","2012-12-19","2014-06-02","Grupul parlamentar al Partidului Democrat Liberal"
"Miron Ignat","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Miron Alexandru Smarandache","2012-12-19","2013-10-21","Grupul parlamentar Democrat şi Popular"
