"nume","inceput","sfarsit","partid"
"Nicolae Vasilescu","2012-12-19","2013-12-10","Grupul parlamentar al Partidului Social Democrat"
"Nicolae-Ciprian Nica","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Nicolae-Liviu Dragnea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Nicu Marcu","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Niculae Mircovici","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Niculina Mocioi","2012-12-19","2014-06-23","Grupul parlamentar Democrat şi Popular"
"Ninel Peia","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Nini Săpunaru","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Nuţu Fonta","2012-12-19","2014-02-24","Grupul parlamentar Democrat şi Popular"
"Oana Manolescu","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Oana Niculescu-Mizil Ştefănescu","2012-12-19","2015-03-12","Grupul parlamentar al Partidului Social Democrat"
"Octavian Bot","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Octavian Petric","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Octavian-Marius Popa","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ödön Szabó","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Ovidiu Alexandru Raeţchi","2012-12-19","2014-09-30","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Ovidiu-Cristian Iane","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ovidiu Ioan Silaghi","2012-12-19","2013-09-03","Grupul parlamentar al Partidului Naţional Liberal"
"Ovidiu-Ioan Dumitru","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Ovidiu Victor Ganţ","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Paul Dumbrăvanu","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Petre Daea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Petre Petrescu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Social Democrat"
"Petre Roman","2012-12-19","2015-02-09","Grupul parlamentar al Partidului Naţional Liberal"
"Petru Andea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Petru Movilă","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Petru Gabriel Vlase","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Radu Babuş","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Radu Stroe","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Radu Zlati","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Radu Bogdan Ţîmpău","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Radu Costin Vasilică","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Radu Mihai Popa","2012-12-19","2013-05-14","Grupul parlamentar Democrat şi Popular"
"Raluca Surdu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Raluca Turcan","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Raluca-Cristina Ispir","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Răzvan Rotaru","2012-12-19","2013-06-17","Grupul parlamentar Democrat şi Popular"
"Răzvan Horia Mironescu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Răzvan-Ionuţ Tănase","2012-12-19","2013-06-17","Grupul parlamentar Democrat şi Popular"
"Relu Fenechiu","2012-12-19","2014-01-30","Grupul parlamentar al Partidului Naţional Liberal"
"Remus-Florinel Cernea","2012-12-19","2013-05-21","Grupul parlamentar al Partidului Social Democrat"
"Roberta Alma Anastase","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Rodica Nassar","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Rodin Traicu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Romeo Rădulescu","2012-12-19","2014-09-22","Grupul parlamentar al Partidului Democrat Liberal"
"Romeo Florin Nicoară","2012-12-19","2013-02-11","Grupul parlamentar Democrat şi Popular"
"Rovana Plumb","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Roxana-Florentina Anuşca","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Sanda-Maria Ardeleanu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Scarlat Iriza","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Social Democrat"
"Sebastian-Aurelian Ghiţă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Sergiu-Constantin Vizitiu","2012-12-19","2013-05-28","Grupul parlamentar al Partidului Democrat Liberal"
"Simona Bucura-Oprescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Slavomir Gvozdenovici","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Sonia-Maria Drăghici","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Sorin Teju","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Sorin-Avram Iacoban","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Sorin Constantin Stragea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Sorin Mihai Grindeanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ştefan Burlacu","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Ştefan-Alexandru Băişanu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ştefan-Bucur Stoica","2012-12-19","2013-10-15","Grupul parlamentar al Partidului Democrat Liberal"
"Ştefan-Petru Dalca","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Steluţa-Gustica Cătăniciu","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Tamara-Dorina Ciofu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Theodor Paleologu","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Theodor-Cătălin Nicolescu","2012-12-19","2015-05-12","Grupul parlamentar al Partidului Naţional Liberal"
"Tinel Gheorghe","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Titi Holban","2012-12-19","2014-03-03","Grupul parlamentar al Partidului Naţional Liberal"
"Toader Dima","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Traian Dobrinescu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Tudor Ciuhodaru","2012-12-19","2015-04-29","Grupul parlamentar Democrat şi Popular"
"Valentin Blănariu","2012-12-19","2014-12-09","Grupul parlamentar Democrat şi Popular"
"Valentin Rusu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Valentin Gabriel Boboc","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Valeria-Diana Schelean","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Valerian Vreme","2012-12-19","2013-05-14","Grupul parlamentar al Partidului Democrat Liberal"
"Valeriu-Andrei Steriu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Valeriu Ştefan Zgonea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Varol Amet","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Varujan Pambuccian","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Vasile Berci","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Vasile Bleotu","2012-12-19","2014-03-11","Grupul parlamentar al Partidului Social Democrat"
"Vasile Gudu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Vasile Horga","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Vasile Iliuţă","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Vasile Mocanu","2012-12-19","2015-04-20","Grupul parlamentar al Partidului Social Democrat"
"Vasile Popeangă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Vasile Varga","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Vasile-Cătălin Drăguşanu","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Vasile-Daniel Suciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Vasile Ghiorghe Gliga","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Vicenţiu-Mircea Irimie","2012-12-19","2013-01-22","Grupul parlamentar al Partidului Democrat Liberal"
"Victor Cristea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Victor Roman","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Victor-Gheorghe Manea","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Victor Paul Dobre","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Victor-Viorel Ponta","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Violeta Tudorie","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Viorel Hrebenciuc","2012-12-19","2014-10-21","Grupul parlamentar al Partidului Social Democrat"
"Viorel Palaşcă","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Viorel Ştefan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Viorel-Ionel Blăjuţ","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Viorel Marian Dragomir","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Viorica Marcu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Virgil Delureanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Virgil Guran","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Vlad Marcoci","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Vlad-Alexandru Cosma","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Zisu Stanciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Zsolt Molnar","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Andrei Daniel Gheorghe","2014-06-11",,"Grupul parlamentar al Partidului Naţional Liberal"
"Florică Bîrsăşteanu","2014-06-11",,"Grupul parlamentar al Partidului Social Democrat"
"Laura Marin","2014-06-11",,"Grupul parlamentar al Partidului Social Democrat"
"Ovidiu Ioan Silaghi","2014-06-11","2014-09-01","Grupul parlamentar al Partidului Social Democrat"
"Petru-Sorin Marica","2014-06-11",,"Grupul parlamentar al Partidului Social Democrat"
