Denumire,Localitate,Judet,Adresa,Infiintare,Descriere_lunga,Descriere_scurta,Descriere_cladire,Istoric,URL,Director,Profil,SIRUTA,Latitudine,Longitudine,Categorie,LMI,ID
Muzeul Mării,Constanța,Constanța,B-dul Mamaia nr. 255,1971,"Muzerul este închis, urmează să fie refăcut și reamplasat. Bogata colecție de animale acvatice provenite din oceanul planetar (specii de scoici, melci de porțelan din apele Africii de vest, familii de corali, stele și arici de mare, pești) este prezentată sub formă de microdiorame și vitrine transparente.","Bogată colecție de animale acvatice provenite din oceanul planetar (specii de scoici, „melci de porțelan” din apele Africii de vest, familii de corali, stele și arici de mare, pești) este prezentată sub formă de microdiorame și vitrine transparente.  The",Clădirea muzeului datează din 1976.,"Muzeul Mării a funcționat între 1971 - 1976 într-un local special amenajat situat pe faleza Cazinoului, în casa Farului Genovez, pe str. Remus Opreanu. După preluarea acestui spațiu de către comandamentul marinei militare, întreaga colecție a fost mutată",http://www.delfinariu.ro/,Adrian Bilba,Științele naturii - Zoologie,60428,44.205516,28.642761,Muzeu județean,,240
"Galeria de Artă „Gyárfás Jenó""",Sfântu Gheorghe,Covasna,Piața Libertății nr. 2,1979,"Din 1 aprilie 2010, în cadrul Muzeului Național Secuiesc funcționează o galerie de artă contemporane (singura din Transilvania). Galeria MAGMA s-a deschis la parterul Bazarului, în centrul orașului, constituind totodată o extindere în timp și spațiu a expoziției permanente „Panteon” a Galeriei de Artă „Gyárfás Jenő”. Mai multe informații (numai în limba maghiară): http://www.magma.maybe.ro","Creații ale pictorului, lucrări ale pictorilor locali de la mijlocul secolului al XIX-lea.  The collection presents works of the painter, works of other local painters from the middle of the 19th century.",,,http://www.sznm.ro,Vargha Mihály,"Istoria artei, Artă vizuală, Memoriale",63401,45.866623,25.787069,Muzeu național,,1877
Muzeul Etnografic „Haszmann Pál”,Cernatul De Jos,Covasna,Str. Muzeului nr. 332,2003,"Muzeul Satului din Cernat și-a primit numele după fondatorul Pál Haszmann. Muzeul a fost amenajat în Cernatul de Sus, în conacul lui Gyula Damokos, respectiv în parcul și grădina ce o înconjoară. În anii 1950-1970 conacul naționalizat își trăia ultimele clipe, neglijat, într-o stare degradată, când liderii locali și autoritățile de stat au decis să o transforme într-o instituție culturală, într-un muzeu. Conacul a fost clădită între secolele XVII–XIX, primindu-și înfățișarea neoclasicistă în 1831. Terenul de mai mult de două hectare și conacul cu multe încăperi ofereau o posibilitate unică pentru înființarea unui muzeu etnografic în aer liber. Instituția și-a deschis porțile publicului pe 25 februarie 1973. În ultimii treizeci de ani de mii de persoane au vizitat și vizitează și azi cu mare interes și apreciere acest muzeu ce între timp a devenit cunoscut și peste hotare ca o însemnată instituție culturală. Pedagogul Pál Haszmann (1902-1977) și soția lui Haszmann Pálné Ida Cseh (1909-2003) au oferit colecția lor privată comunității secui-maghiare cu scopul înființării muzeului. Visul lor de mai multe decenii de a înființa un muzeu s-a împlinit mulțumită susținătorilor și a multor oameni entuziasmați. Munca lor este continuată de fiii lor și familiile acestora.","Instituția funcționează în conacul Domokos Gyula, monument de arhitectură construit în stil clasicist în 1831, pe bazele unei clădiri mai vechi, renascentiste. Bazele colecției au fost puse de învățătorul și pasionatul colecționar local Haszmann Pál și e","Conacul Domokos Gyula, monument de arhitectură construit în stil clasicist în 1831, pe bazele unei clădiri mai vechi, renascentiste.",,http://www.sznm.ro,Vargha Mihály,"Etnografie - Arhitectură populară, Memoriale, Artă decorativă, Istorie, Știință și tehnică",64201,45.965801,26.023303,Muzeu național,,250
Muzeul Național al Carpaților Răsăriteni,Sfântu Gheorghe,Covasna,Str. Gabor Aron nr.16,,"Patrimoniul muzeului este format în principal din cercetări proprii efectuate pe teritoriul județelor Covasna și Harghita, precum și din achiziții și donații. În prezent în registru de inventar apar 15.000 obiecte. Patrimoniul arheologic cuprinde vestigii preistorice, dacice, romane și post-romane. Este compus din piese provenite din siturile cercetate:Păuleni Ciuc, Ciomortan""Dâmbul Cetății"", Olteni"" Cariera de nisip"", Covasna ""Cetatea Zânelor"", Biborțeni, Brăduț etc. Patrimoniul arheologic cuprinde și piese de lemn provenite de la ""Băile Figa"" Beclean din județul Bistrița Năsăud. Patrimoniul etnografic este format din două construcții țărănești, numeroase piese de port tradițional, mobilier, unelte și ustensile tradiționale.  Patrimoniul istorico-memorialistic cuprinde casa natală a scriitorului Romulus Cioflec, unde este amenajată Casa memorială Romulus Cioflec și clădirea primei școli românești din Sfântul Gheorghe (1799), precum și obiecte și documente privind istoria și cultura românească pe teritoriul județelor Harghita și Covasna.  Muzeul a organizat până acum câteva expoziții tematice temporare. Începând cu anul 2006, după încheierea perioadei de formare a microclimatului în spațiile expoziționale, muzeul își propune organizarea a două expoziții de bază, permanente (la Sfântu Gheorghe și Miercurea Ciuc), precedată de organizarea unor expoziții temporare.  Începând din 2003, muzeul a organizat o expoziție de bază la filiala sa din acest oraș, Muzeul Oltului și Mureșului Superior.","Muzeul deține obiecte de arheologie preistorică, dacică, romană și post-romană, precum și colecții de etnografie și istorie memorială.  The museum has collections of archaeology (prehistoric, Dacian, Roman and post-Roman), ethnography and memorial histor",Muzeul a primit o clădire proprie în 2005.,,http://www.mncr.ro,Valerii Kavruc,"Arheologie, Istorie, Etnografie",63401,45.865616,25.785233,Muzeu național,,712
Muzeul Breslelor „Incze László”,Târgu Secuiesc,Covasna,Str. Curtea nr. 10,1972,"Primul muzeu în Târgu Secuiesc a fost înființat în perioada interbelică de avocatul Ödön Dienes. A fost însă un muzeu care a funcționat doar nouă ani. In anul 1941, muzeul, care număra peste douăzeci de mii de exponate, a fost lichidat. Perioada după cel de al doilea război mondial nu a fost deloc favorabilă redeschiderii unui muzeu. Abia în 1969, când se aniversau 120 de ani de la moartea eroului pașoptist Áron Gábor, s-a profitat de ocazie și s-a înființat un nou muzeu, la inițiativa Comitetului Județean de Cultură de atunci și a Muzeului Județean Covasna (Muzeul Național Secuiesc de azi). Astfel, chiar pe terenul unde a fost turnătoria de tunuri, în casa Turóczi, în două din camerele sale, s-a deschis o expoziție permanentă. Într-o cameră a fost expusă colecția de obiecte referitoare la momentul istoric 1848–49, colecție din fondul Muzeului Județean, iar în cealaltă, obiecte care încercau să refacă istoria breslelor și a asociațiilor meșteșugărești. Acestea au fost expozițiile prin care s-au pus bazele muzeului de astăzi. După vernisajul expoziției și ca urmare a impactului pe care aceasta l-a avut în rândul vizitatorilor, a ieșit la iveală faptul că meseriașii și urmașii lor din zonă se află în posesia unui valoros material documentar, care ar putea îmbogăți colecțiile micului muzeu din Târgu Secuiesc. De colectarea și expunerea obiectelor cu valoare de document s-a ocupat profesorul de istorie László Incze. În anul 1970, acestuia i-a fost recunoscută calitatea de muzeograf și i s-a încredințat conducerea secției cu expoziția permanentă din casa Turóczi. In 1971, muzeul de numai doi ani a primit un nou spațiu, în clădirea Primăriei, un imobil construit în 1857, fapt ce a dus la intensificarea eforturilor de colecționare a obiectelor. Paralel cu strângerea obiectelor, s-au declanșat și lucrări de transformare și reamenajare a spațiilor clădirii, pentru a răspunde cerințelor muzeistice. Muzeul actual al orașului Tg. Secuiesc a fost inaugurat la 3 martie 1972 ca o secție a Muzeului Județean. Expozițiile permanente ale noului muzeu au menirea de a oferi vizitatorului un tablou cât mai expresiv despre trecutul orașului Târgu Secuiesc, cu secvențele care îi definesc identitatea și i-au marcat istoria: meșteșugurile pe care localnicii (tâmplari, cojocari, olari, cizmari, pantofari, tăbăcari, fierari, turtari, măcelari, pălărieri, croitori) le-au transmis din tată în fiu și care au devenit cea mai prețioasă tradiție a orașului și documentele care depun mărturie despre implicarea orașului în revoluția din 1848–49.","Muzeul prezintă istoria breslelor: lăzi de breaslă, steaguri, obiecte folosite de tâmplari, cojocari, olari, cizmari, pantofari, tăbăcari, fierari, turtari, macelari, pălărieri, croitori.  The museum presents the history of the guilds: guild chests, flag",,,http://www.sznm.ro,Vargha Mihály,"Istoria breslelor, Istorie locală, Etnografie",63759,,,Muzeu național,,
Casa - Atelier „Gabriel Popescu”,Vulcana-Pandele,Dâmbovița,,1972,"Muzeul, ce poartă denumirea generică Casa-Atelier ''Gabriel Popescu'', este situat în satul Gura Vulcănii (comuna Vulcana Pandele), locul de naștere al artistului, o zonă colinară de o frumusețe mirifică. Lăcașul cultural dâmbovițean a fost deschis la 15 mai 1973 chiar în casa gravorului Gabriel Popescu (1866 - 1937), amenajarea fiind posibilă datorită donațiilor familiei acestuia. Tot familia sa a contribuit din plin la recrearea atmosferei de odinioară în care Gabriel Popescu a creat și trăit. Casa a fost finalizată în 1905, după planurile arhitectului A. Clavel, realizate în concordanță cu schițele și dorințele artistului. Clădirea are, la etaj, două camere - una deosebit de spațioasă, destinată atelierului de gravură, care este prevăzută cu un luminator, iar cealaltă - dormitorul, complet utilat, în care se află o serie de obiecte de uz casnic (lămpi, căni, lavoar etc.), dar și o bibliotecă variată ce cuprinde tratate de gravură, albume de artă și fotografii, carți de bune maniere, cărți de istoria românilor, cărți de sculptură în lemn. În diferitele momente ale zilei, prin intermediul luminatorului, se crea o atmosferă propice lucrului migălos pe care îl presupunea gravura în metal. Dacă la parterul casei este prezentată, printro expoziție documentară, cu diferite fotografii și documente din timpul studiilor, viața și principalele creații ale artistului, etajul ilustrează locul în care își petrecea cel mai mult timp, respectiv atelierul, dotat cu o presă unică în țară, cu doi cilindri acționați printr-o manivelă. În atelier se pot vedea ustensilele de lucru și substanțele pentru realizarea gravurilor în metal, precum și soba pe care își usca lucrările după imprimarea prin presare. Aici, prin intermediul instrumentelor de gravură, vizitatorul își poate imagina și înțelege mai ușor procedeul laborios al gravurii în acvaforte și dăltiță.  Dar, pe lângă gravură, Gabriel Popescu realiza studii și ieșea, ca orice artist al vremii, în natură, pentru a observa diferite lucruri care puteau fi legate de expresivitatea chipului uman sau de documentarea pentru un subiect anume. Ca mărturie a faptului că artistul ieșea din atelier să lucreze stau șevaletul, scăunelul și umbrela de câmp. Din cauză că domeniul gravurii în metal era puțin cunoscut și destul de greu accesibil, ustensilele se procurau cu dificultate, lucru care l-a făcut pe Gabriel Popescu să-și realizeze propriile instrumente. Unul dintre momentele importante pentru educația artistică românească a fost acela când Gabriel Popescu a fost cel care a pus bazele învățământului superior de specialitate în domeniu, după ce a fost numit profesor în 1911 la Școala de Arte Frumoase din București. Vitregiile și neajunsurile timpului l-au făcut, nu de puține ori, să imprime lucrările studenților săi la presa din atelierul de la Vulcana. Artistul Gabriel Popescu înfățișează în lucrările sale originale, în tehnici diferite (acvaforte, dăltiță, peniță, cărbune etc.), scene și persoane din Vulcana Pandele. În asemenea lucrări, Popescu și-a demonstrat calitățile complexe de gravor și, nu în ultimul rând, de pasionat al desenului.  Desenele sale înfățișează lapidar, ca niște instantanee simple, scene întâlnite pe stradă, redate ferm și expresiv, ce surprind, printr-o viziune sintetică, principalele trăsături caracteristice ale subiectului ales. După 1934, anul pensionării, împreună cu soția sa Marthe Canazin, acesta, bolnav fiind, se retrage la Vulcana Pandele, localitatea natală. După moarte însă, arta sa a intrat într-un con de umbră, fiind uneori amintită la diferite simpozioane și manifestări cu caracter local. Cu siguranță, odată cu trecerea timpului, se va înțelege adevărata valoare a operei sale și va primi locul binemeritat în istoria artei românești.","Expoziția, adăpostită într-o clădire construită în 1905 după proiectul arh. Alexandre Clavel, prezintă pictură, mobilier, obiecte personale, fotografii, corespondență, desene, gravuri ale graficianului Gabriel Popescu (1866 - 1937), întemeietor al școlii",Clădire construită în 1905 după proiectul arhitectului Alexandre Clavel.,,http://www.muzee-dambovitene.ro,Ovidiu Cârstina,Memoriale - Istoria artei,66063,45.028865,25.398436,Muzeu județean,DB-IV-m-A-17824,254
Casa - Atelier „Gheorghe Petrașcu”,Târgoviște,Dâmbovița,Str. Bărăției nr. 17,1970,"Muzeul a fost inaugurat la 12 aprilie 1970 și după cum îi spune și numele încearcă să păstreze viu în memoria vizitatorilor locul în care artistul Gheorghe Petrașcu (2 dec. 1872, Tecuci – 1 mai 1949, București) a ales, prin construirea casei cu atelier spațios, să lucreze retras și nestingherit de zgomotul marilor orașe. Orașul liniștit și patriarhal, situat în apropiere de București, cu o zonă pitorească și variată din punct de vedere al peisajului și având numeroase monumente și amprente ale unei istorii glorioase l-au ajutat pe artistul modest să-și lege creația și viața de Târgoviște.  Artist reprezentativ în arta plastică românească și primul artist al țării mebru al Academiei Române, influențat în perioada începuturilor artistice de noua viziune a lui Grigorescu în ceea ce privește modul de prezentare al subiectelor, Gheorghe Petrașcu va lucra la Târgoviște din 1924 aproape 20 de ani, după momentul năruirii atelierului din Nicorești și după numeroasele călătorii, din care seîntorcea o serie de impresii ce fixau în lucrări bogate în culoare locurile care l-au impresionat.  Expoziția permanentă are un puternic caracter memorial încercând, în limita impusă de patrimoniul deținut, să recreeze ceva din atmosfera atelierului cu ferastra largă spre nord și vedere spre grădină și pereții încărcați de lucrări. Aici, în colecția de artă se regăsesc peisaje din diversele sale călătorii din țară (lunca Siretului, Dobrogea, Nicorești, Agapia etc) și străinătate: Egipt (1906), Italia, Spania, Balcic. Artistul cunoștea împrejurimile orașului destul de bine în momentul în care se hotărăște în primăvara anului 1922 să-și clădească atelierul la Târgoviște, deoarece pictase în 1914 la Viforâta. În anul 1926 deschide o expoziție personală la „Căminul Artelor” din București unde prezintă numeroase picturi, desene și acuarele, înfățișând peisaje din călătoriile sale în străinătate și din Viforâta, Aninoasa și Târgoviște. În expoziție pot fi admirate și studiate câteva lucrări timpurii precum „Piață la Assuan”, dar și peisaje în care se simte influența grigoresciană. Sunt expuse de asemenea  o serie de lucrări ce ilustrează, în stilul său și gama cromatică specifică, florile sale preferate - cârciumăresele - descoperite la un florar de origine germană Gardon de pe Strada Mihai Bravu, flori cu care umpluse într-o perioadă și grădina din fața casei. Din călătoriile sale prin țară și străinătate a imortalizat pe pânză locuri și peisaje, precum „Casă la Vitré”, „Peisaj marin” (Veneția), „Case la Chioggia” din perioada de maturitate când pasta groasă și conturul negru deja îl caracterizau.  Petrașcu era o fire mai izolată, dar putea fi întâlnit uneori pe străzile vechiului oraș în compania soției ori a ficei sale Mariana sau cu șevaletul la ruinele Curții Domnești, după cum relata într-unul din articolele sale omul de cultură și publicistul târgoviștean Ion Gh. Vasiliu. Terasa casei, atunci când nu lucra, era martora nenumăratelor partide de șah în care artistul avea ca adversar pe doctorul în teologie Nițulescu profesor la Liceul Militar de Elită „Nicolae Filipescu” de la Mănăstirea Dealu. Intrând în acest mic muzeu descoperi și o altă dimensiune a artistului Petrașcu prin intermediul gravurilor, majoritatea datând din anii ʼ30, în care se simte aceiași preocupare întâlnită în opera sa de a reda prin intermediul unei game variate de tonuri materialitatea, durabilitatea și expresivitatea creației umane, nelipsită în cazul peisajelor sale urbane și a interioarelor din atelierul de la Târgoviște, pe care le-a înfățișat privitorului cu o neîntrecută măiestrie artistică.","Clădirea a fost ridicată în 1924, după planurile arh. Ion Răducănescu, respectând și indicațiile artistului Gheorghe Petrașcu (1872 - 1949). Sunt expuse lucrări de pictură, gravură, desen, obiecte personale.  The building was raised in 1924, after the ar","Clădirea a fost ridicată în 1924, după planurile arhitectului Maior Ion Răducănescu, respectând și indicațiile artistului.",,http://www.muzee-dambovitene.ro,Ovidiu Cârstina,Memoriale - Istoria artei,65351,44.933593,25.452193,Muzeu județean,DB-IV-A-17788,255
Casa Memorială „I. C. Vissarion”,Costeștii Din Vale,Dâmbovița,,1968,"Muzeul conservă și expune mobilier original, obiecte personale, manuscrise, invenții personale, documente ilustrând activitatea scriitorului I. C. Vissarion. Scriitorul-țăran I.C. Vissarion (1879 - 1951) este creatorul basmului fantastic. Cele mai cunoscute povești ale sale sunt: Ber-Căciulă și Agerul Pământului. Nenumăratele istorisiri, snoave, șotii și întâmplări de la țară, publicate în bună parte, sunt nu numai un material de literatură dar și un tezaur de documente asupra vieții și mentalității țăranului român.","Muzeul conservă și expune mobilier original, obiecte personale, manuscrise, invenții personale, documente ilustrând activitatea scriitorului I. C. Vissarion. Scriitorul-țăran I.C. Vissarion (1879 - 1951) este creatorul basmului fantastic.  The museum con",,,http://www.muzee-dambovitene.ro,Ovidiu Cârstina,Memoriale - Istoria literaturii,67130,,,Muzeu județean,,256
Casa Memorială „Ion Luca Caragiale”,I. L. Caragiale,Dâmbovița,,1976,"Reînființată în anul 1979, într-o casă construită în stil rustic, Casa Memorială ""Ion Luca Caragiale"" adăpostește mărturii scrise ale vieții și activității marelui dramaturg, născut la Haimanale, care au rolul de a aduce în atenția vizitatorului viața cu frământările și împlinirile sale, ale geniului dramaturgiei românești. Muzeul prezintă vizitatorului mărturii documentare, cărti în ediții princeps, fotografii, afișe, mobilier de epocă, obiecte personale, afișe artistice ale pieselor lui I. L. Caragiale, jucate pe mari scene ale lumii: New York, Londra, Roma, Milano, Tokio, Paris.","În această localitate s-a născut scriitorul Ion Luca Caragiale (1852 - 1912). În casa memorială sunt expuse piese de mobilier, manuscrise, obiecte personale, ediții ale operelor și afișe artistice ale pieselor lui.  The great Romanian writer Ion Luca Car",,,http://www.muzee-dambovitene.ro,Ovidiu Cârstina,Memoriale - Istoria literaturii,67755,44.909639,25.702437,Muzeu județean,,257
Ansamblul Palatului Brâncovenesc,Potlogi,Dâmbovița,,1971,"Titu și la 45 km nord- vest de București, pe intersecția DJ 711 A (Bilciurești -DN 71-DN 7 – A 1 – Corbii Mari DN 61) cu DJ 401 A ( Bolintin Vale – A 1 – DN 7 Găiești). În trecut Potlogiul era traversat de drumul principal de circulație ce lega Bucureștiul de Târgoviște și Craiova. Acest lucru l-a determinat pe domnul Țării Românești, Constantin Brâncoveanu în anul 1698 să ridice în centrul localității un frumos palat spre a fi lăsat moștenire fiului său Constantin, după cum grăiește pisania așezată pe fațada de sud a palatului: „Aceste case din temelia lor sunt înălțate de luminatul domn, Io Constantin Basarab Voievod fiului său Constantin Brâncoveanul, începându-le și sfârșindu-le la leat 7206 (1698) și la al zecelea an al domniei sale, ispravnic fiind Mihai vtori postelnic Corbeanul”. Curtea palatului este de formă rectangulară, fiind strajuită la nord de albia fostului helesteu, iar pe celelalte trei laturi de un zid de incintă. Această curte a fost împărțită după obiceiul vremii în trei segmente, separate între ele prin ziduri și cladiri anexe: curtea de primire care leagă poarta prinicipală de incinta palatului, curtea de serviciu, destinată gospodariei, iar la nord între palat și heleșteu se aflau gradinile palatului. Principala construcție a curții, palatul, este o construcție de plan dreptunghiular în a cărei compunere intră o pivniță boltită, un parter și un etaj. Pivnița este o construcție vastă, acoperită de patru calote sferice sprijinite pe un stâlp central prin intermediul pandantivilor. Parterul este alcătuit din trei încăperi spațioase și alte două mai reduse ca dimensiuni. Accesul la etaj se face prin foișorul deschis, situat pe fațada sudică, de aici se intră într-o cameră prelungă ce separă cele două apartamente inegale, cel al domnitorului, de dimensiuni mai mari în stânga și cel al doamnei în dreapta, în partea central nordică a etajului se află loggia, iar în mijlocul acestuia se află o cameră de formă pătrata, așa numită a chelarului, după cum ne relatează Paul de Alep, secretarul domnitorului, unde erau ținute lucrurile de valoare în lipsa stăpânilor casei. Încăperile de la etaj au tavanele acoperite de bolți mănăstirești cu lunete și pereți ce păstrează frumoase stucaturi cu motive florale, în trecut acești pereți erau decorați și cu picturi murale astăzi total distruse. La exterior, palatul este tencuit și păstrează fragmentar un decor în stuc asemănător celui din interior. În incinta curții se pot vedea fragmente de fundație ale cuhniei (colțul de sud-est), ale slomului (vest), precun și ruinele casei vechi care mai păstrează beciurile și o parte din zidurile parterului (est). Tot în partea de est, dar având curte separată, se găsește biserica cu hramul Sfântul Dumitru, ctitorie a Brancoveanului ridicată în anul 1683. Curtea brancoveneasca de la Potlogi reprezintă un nucleu de referință pentru înțelegerea arhitecturii brâncovenești, prin structura arhitectonică și plastica decorativă prezentă aici.",Palatul în stil brâncovenesc a fost construit de Constantin Brâncoveanu între 1698 - 1699.  The Palace in Brancovan style was erected by the Prince Constantine Brancovan between 1698 and 1699.,,,http://www.muzee-dambovitene.ro,Ovidiu Cârstina,Muzeu de sit,68477,44.564319,25.588091,Muzeu județean,DB-II-a-A-17654,258
Muzeul de Artă din Târgoviște,Târgoviște,Dâmbovița,Calea Domnească nr. 185,1971,"Muzeul de Artă, situat pe Calea Domnească în imediata vecinătate a Muzeului de Istorie și a Curții Domnești, este unul dintre importantele monumente ale orașului de la sfârșitul secolului al XIX-lea. Construită între 1892 - 1894 de antreprenorul italian Giovanni Baltasare Vignosa ca sediu al Prefecturii județului Dâmbovița, clădirea prezintă o decorație clasică cu influențe baroce și o impresionantă pictură interioară. Somptuozitatea picturii este resimțită tot mai mult pe măsură ce se ajunge la etaj și culminează cu decorația „Sălii de Consiliu”. Bogata pictură murală, cu care este decorată Sala de Consiliu, situată central la etajul clădirii, prezintă motive neoclasice, vegetale și florale cu influențe clare ale barocul italian. Deasupra celor cinci căi de acces în sală se întâlnește pictat câte un peisaj cu monumente reprezentative din Târgoviște (Curtea Domnească, Mitropolia nouă) ori împrejurimi așa cum le-a văzut pictorul de origine italiană Giovanni Battista del Basso la 1894 - 1895, o excepție constituind-o prezența, deasupra ușii centrale, a căpriorului ca stemă a județului Dâmbovița. Din anii ’70, după mutarea Prefecturii în noul sediu modern și mult mai mare, aici a funcționat până spre sfârșitul anilor ’80 Secția pentru Adulți a Bibliotecii județene, după care a primit o nouă utilitate aceea de Muzeu de Artă, starea avansată de degradare permițându-i să fie deschis publicului pâna în 1998. Redeschiderea acestuia a fost posibilă abia în anul 2009 după ample lucrări de consolidare și restaurare.  Expoziția Muzeului de Artă, modestă ca număr de exponate datorită spațiului restrâns, cuprinde la parterul clădirii, artă veche românească, iar la etaj artă decorativă și pictură de șevalet începând din prima jumătate a secolului al XIX-lea cu „primitivi” ai artei românești și sfârșind cu lucrări din perioada interbelică. Arta veche românească este reprezentată în general de pictura cu subiect religios - realizată pe diferite suporturi - ilustrată aici cu frescă din perioada brâncovenească, dar și cu icoane din secolul al XVIII-lea și chiar mai târzii datate după 1800.  Alături de aceste icoane sunt prezentate, ca o excepție și în același timp ca o evoluție firească a picturii religioase după contactul unor artiști cu mediul academic central-european, icoanele, de mici dimensiuni, realizate de Gheorghe Tattarescu în stil neoclasic, datând din a doua jumătate a secolului al XIX-lea (cca. 1863-1864) prin intermediul cărora se realizează o trecere subtilă de la pictura religioasă la cea de șevalet situată la etaj. Astfel, cu personajele miniaturale de influență occidentală, în interioare destul de sumar prezentate de Tattarescu, deschidem calea vizitatorului spre portretele anonime de boieri. Acestea amintesc, prin costume și chipurile expresive „zugrăvite” schematic, de tradiția tablourilor votive ale diferiților ctitori de biserici.  Lucrările realizate spre sfârșitul secolului al XIX-lea de artiști precum: Nicolae Grigorescu, Sava Henția, George Demetrescu Mirea și Ștefan Vasilescu, vorbesc de stilurile și schimbările care se produceau în plan artistic la nivelul întregii țări. Prima decadă a secolului al XX-lea este prezentată, prin lucrările timpurii, de influență grigoresciană, ale lui Gheorghe Petrașcu și prin portretele academice ale pictorului Ștefan Vasilescu, artiști care din diferite motive au ales să-și lege viața și creația de orașul Tărgoviște. Începând cu anii ’20 ai secolului trecut este ilustrată cea mai importantă și frumoasă perioadă a artei românești: copii realizați de Nicolae Tonitza, portrete de doamne din înalta societate prezentate diferit în funcție de percepția artistică a fiecărui artist în parte (a Ceciliei Cuțescu-Stork, Costin Petrescu, Theodor Pallady ori, probabil, Eustațiu Stoenescu) și încheind cu luminozitatea oferită de minunatele peisaje din Balcic ale pictorului Nicolae Dărăscu de dinainte de cea de-a doua conflagrație mondială.  În muzeul pot fi întâlnite tehnici de lucru variate, cu tradiție sau mai noi, de la tempera pe lemn și frescă până la pastel și ulei pe diferite suporturi, dar și culorile specifice fiecărui artist (albastrul și albul lui Petrașcu, griurile calde palladyene, galbenul luminos al lui Tonitza, griurile grigoresciene, albastrul lui Dărăscu, verdele lui Bob Bulgaru etc.) care se regăsesc în operele de artă din expoziția permanentă. Astfel, expoziția pusă în valoare de pictura și arhitectura clădirii cu spații variate monumentale sau intime, invită vizitatorul la meditație la vremurile de demult, îmbie la amintiri și retrăiri ale atmosferei timpurilor apuse prin intermediul lucrărilor prezentate.","Deține colecții de pictură religioasă (fresce și icoane), mobilier de epocă, podoabe și țesături orientale. Arta modernă și contemporană românească este prezentă prin: Nicolae Grigorescu, Sava Henția, Nicolae Tonitza, Ioan Andreescu, Theodor Pallady, Ios",,,http://www.muzee-dambovitene.ro,Ovidiu Cârstina,"Artă decorativă, Artă plastică românească",65351,44.930802,25.460069,Muzeu județean,DB-II-m-B-17238,259
